id,patternImage,idLith,idOperadora
1,1.png,19,1
2,7.png,4,1
3,14.png,6,1
4,19.png,25,1
5,21.png,18,1
6,2.png,72,1
7,8.png,14,1
8,17.png,38,1
9,3.png,78,1
10,9.png,24,1
11,15.png,22,1
12,13.png,27,1
13,5-4.png,60,1
14,10.png,61,1
15,16.png,28,1
16,24.png,23,1
17,5.png,5,1
18,11.png,3,1
19,18.png,21,1
20,23.png,63,1
21,6.png,12,1
22,12.png,8,1
23,20.png,26,1
24,22.png,62,1
